# Fork: 1 of 1
# Warmup Iteration   1: 2,304 ops/s
# Warmup Iteration   2: 2,628 ops/s
# Warmup Iteration   3: 2,603 ops/s
# Warmup Iteration   4: 2,585 ops/s
# Warmup Iteration   5: 2,614 ops/s
# Warmup Iteration   6: 2,642 ops/s
# Warmup Iteration   7: 2,581 ops/s
# Warmup Iteration   8: 2,640 ops/s
# Warmup Iteration   9: 2,575 ops/s
# Warmup Iteration  10: 2,642 ops/s
# Warmup Iteration  11: 2,642 ops/s
# Warmup Iteration  12: 2,645 ops/s
# Warmup Iteration  13: 2,633 ops/s
# Warmup Iteration  14: 2,610 ops/s
# Warmup Iteration  15: 2,628 ops/s
# Warmup Iteration  16: 2,633 ops/s
# Warmup Iteration  17: 2,573 ops/s
# Warmup Iteration  18: 2,583 ops/s
# Warmup Iteration  19: 2,583 ops/s
# Warmup Iteration  20: 2,648 ops/s
Iteration   1: 2,573 ops/s
Iteration   2: 2,649 ops/s
Iteration   3: 2,577 ops/s
Iteration   4: 2,596 ops/s
Iteration   5: 2,642 ops/s
Iteration   6: 2,644 ops/s
Iteration   7: 2,574 ops/s
Iteration   8: 2,572 ops/s
Iteration   9: 2,646 ops/s
Iteration  10: 2,616 ops/s
Iteration  11: 2,575 ops/s
Iteration  12: 2,608 ops/s
Iteration  13: 2,609 ops/s
Iteration  14: 2,645 ops/s
Iteration  15: 2,629 ops/s
Iteration  16: 2,628 ops/s
Iteration  17: 2,567 ops/s
Iteration  18: 2,632 ops/s
Iteration  19: 2,633 ops/s
Iteration  20: 2,576 ops/s


Result: 2,609 ±(99.9%) 0,026 ops/s [Average]
  Statistics: (min, avg, max) = (2,567, 2,609, 2,649), stdev = 0,030
  Confidence interval (99.9%): [2,583, 2,636]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_comparing
# Parameters: (nbPersons = 5000)

# Run progress: 16,67% complete, ETA 00:59:39
# Fork: 1 of 1
# Warmup Iteration   1: 1034,534 ops/s
# Warmup Iteration   2: 1384,590 ops/s
# Warmup Iteration   3: 1405,523 ops/s
# Warmup Iteration   4: 1334,169 ops/s
# Warmup Iteration   5: 1394,660 ops/s
