# Benchmark: fr.soat.AnonymousClassSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 50000)

# Run progress: 64,29% complete, ETA 00:08:16
# Fork: 1 of 1
# Warmup Iteration   1: 62,498 ops/s
# Warmup Iteration   2: 77,528 ops/s
# Warmup Iteration   3: 78,931 ops/s
# Warmup Iteration   4: 80,645 ops/s
# Warmup Iteration   5: 78,630 ops/s
# Warmup Iteration   6: 79,470 ops/s
# Warmup Iteration   7: 80,511 ops/s
# Warmup Iteration   8: 80,922 ops/s
# Warmup Iteration   9: 78,980 ops/s
# Warmup Iteration  10: 78,820 ops/s
# Warmup Iteration  11: 78,419 ops/s
# Warmup Iteration  12: 78,445 ops/s
# Warmup Iteration  13: 80,291 ops/s
# Warmup Iteration  14: 81,252 ops/s
# Warmup Iteration  15: 79,985 ops/s
# Warmup Iteration  16: 80,088 ops/s
# Warmup Iteration  17: 80,314 ops/s
# Warmup Iteration  18: 76,479 ops/s
# Warmup Iteration  19: 81,401 ops/s
# Warmup Iteration  20: 77,596 ops/s
Iteration   1: 80,691 ops/s
Iteration   2: 79,901 ops/s
Iteration   3: 79,424 ops/s
Iteration   4: 78,210 ops/s
Iteration   5: 78,103 ops/s
Iteration   6: 77,256 ops/s
Iteration   7: 80,859 ops/s
Iteration   8: 79,669 ops/s
Iteration   9: 78,126 ops/s
Iteration  10: 79,983 ops/s
Iteration  11: 79,612 ops/s
Iteration  12: 77,672 ops/s
Iteration  13: 79,242 ops/s
Iteration  14: 80,401 ops/s
Iteration  15: 80,810 ops/s
Iteration  16: 78,923 ops/s
Iteration  17: 79,866 ops/s
Iteration  18: 78,208 ops/s
Iteration  19: 79,200 ops/s
Iteration  20: 80,094 ops/s


Result: 79,312 ±(99.9%) 0,936 ops/s [Average]
  Statistics: (min, avg, max) = (77,256, 79,312, 80,859), stdev = 1,077
  Confidence interval (99.9%): [78,377, 80,248]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 100000)

# Run progress: 71,43% complete, ETA 00:06:34
# Fork: 1 of 1
# Warmup Iteration   1: 26,868 ops/s
# Warmup Iteration   2: 33,217 ops/s
# Warmup Iteration   3: 33,367 ops/s
# Warmup Iteration   4: 33,680 ops/s
# Warmup Iteration   5: 32,111 ops/s
