# JMH 1.5.2 (released 220 days ago, please consider updating!)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -javaagent:/usr/share/java/jayatanaag.jar
# Warmup: 1000 iterations, single-shot each
# Measurement: 1000 iterations, single-shot each
# Timeout: 10 min per iteration
# Threads: 1 thread
# Benchmark mode: Single shot invocation time
# Benchmark: fr.soat.BaselineJava7Benchmark.anonymous_class
# Parameters: (nbPersons = 100)

# Run progress: 0,00% complete, ETA 00:00:22
# Fork: 1 of 1
Picked up JAVA_TOOL_OPTIONS: -javaagent:/usr/share/java/jayatanaag.jar 
# Warmup Iteration 244: 0,092 ms/op
# Warmup Iteration 245: 0,092 ms/op
# Warmup Iteration 246: 0,090 ms/op
# Warmup Iteration 247: 0,080 ms/op
# Warmup Iteration 248: 0,090 ms/op
# Warmup Iteration 249: 0,090 ms/op
# Warmup Iteration 250: 0,091 ms/op
# Warmup Iteration 251: 0,087 ms/op
# Warmup Iteration 252: 0,094 ms/op
# Warmup Iteration 253: 0,094 ms/op
# Warmup Iteration 254: 0,089 ms/op
# Warmup Iteration 255: 0,087 ms/op
# Warmup Iteration 256: 0,106 ms/op
# Warmup Iteration 257: 0,090 ms/op
# Warmup Iteration 258: 0,090 ms/op
# Warmup Iteration 259: 0,095 ms/op
# Warmup Iteration 260: 0,084 ms/op
# Warmup Iteration 261: 0,089 ms/op
# Warmup Iteration 262: 0,088 ms/op
# Warmup Iteration 263: 0,085 ms/op
# Warmup Iteration 264: 0,097 ms/op
# Warmup Iteration 265: 0,083 ms/op
# Warmup Iteration 266: 0,089 ms/op
# Warmup Iteration 267: 0,084 ms/op
# Warmup Iteration 268: 0,090 ms/op
# Warmup Iteration 269: 0,089 ms/op
# Warmup Iteration 270: 0,089 ms/op
# Warmup Iteration 271: 0,106 ms/op
# Warmup Iteration 272: 0,092 ms/op
# Warmup Iteration 273: 0,084 ms/op
# Warmup Iteration 274: 0,089 ms/op
# Warmup Iteration 275: 0,093 ms/op
# Warmup Iteration 276: 0,095 ms/op
# Warmup Iteration 277: 0,084 ms/op
# Warmup Iteration 278: 0,090 ms/op
# Warmup Iteration 279: 0,092 ms/op
# Warmup Iteration 280: 0,086 ms/op
# Warmup Iteration 281: 0,087 ms/op
# Warmup Iteration 282: 0,084 ms/op
# Warmup Iteration 283: 0,090 ms/op
# Warmup Iteration 284: 0,079 ms/op
# Warmup Iteration 285: 0,090 ms/op
# Warmup Iteration 286: 0,094 ms/op
# Warmup Iteration 287: 0,090 ms/op
# Warmup Iteration 288: 0,088 ms/op
# Warmup Iteration 289: 0,137 ms/op
# Warmup Iteration 290: 0,100 ms/op
# Warmup Iteration 291: 0,197 ms/op
# Warmup Iteration 292: 0,095 ms/op
# Warmup Iteration 293: 0,083 ms/op
# Warmup Iteration 294: 0,089 ms/op
# Warmup Iteration 295: 0,086 ms/op
# Warmup Iteration 296: 0,092 ms/op
# Warmup Iteration 297: 0,096 ms/op
# Warmup Iteration 298: 0,109 ms/op
# Warmup Iteration 299: 0,091 ms/op
# Warmup Iteration 300: 0,082 ms/op
# Warmup Iteration 301: 0,088 ms/op
# Warmup Iteration 302: 0,089 ms/op
# Warmup Iteration 303: 0,088 ms/op
# Warmup Iteration 304: 0,087 ms/op
# Warmup Iteration 305: 0,088 ms/op
# Warmup Iteration 306: 0,084 ms/op
# Warmup Iteration 307: 0,093 ms/op
# Warmup Iteration 308: 0,140 ms/op
# Warmup Iteration 309: 0,093 ms/op
# Warmup Iteration 310: 0,093 ms/op
# Warmup Iteration 311: 0,086 ms/op
# Warmup Iteration 312: 0,092 ms/op
# Warmup Iteration 313: 0,089 ms/op
# Warmup Iteration 314: 0,087 ms/op
# Warmup Iteration 315: 0,076 ms/op
# Warmup Iteration 316: 0,079 ms/op
# Warmup Iteration 317: 0,089 ms/op
# Warmup Iteration 318: 0,140 ms/op
# Warmup Iteration 319: 0,089 ms/op
# Warmup Iteration 320: 0,088 ms/op
# Warmup Iteration 321: 0,119 ms/op
# Warmup Iteration 322: 0,110 ms/op
# Warmup Iteration 323: 0,099 ms/op
# Warmup Iteration 324: 0,089 ms/op
# Warmup Iteration 325: 0,089 ms/op
# Warmup Iteration 326: 0,198 ms/op
# Warmup Iteration 327: 0,165 ms/op
# Warmup Iteration 328: 0,101 ms/op
# Warmup Iteration 329: 0,092 ms/op
# Warmup Iteration 330: 0,094 ms/op
# Warmup Iteration 331: 0,091 ms/op
# Warmup Iteration 332: 0,091 ms/op
# Warmup Iteration 333: 0,087 ms/op
# Warmup Iteration 334: 0,092 ms/op
# Warmup Iteration 335: 0,092 ms/op
# Warmup Iteration 336: 0,104 ms/op
# Warmup Iteration 337: 0,091 ms/op
# Warmup Iteration 338: 0,091 ms/op
# Warmup Iteration 339: 0,094 ms/op
# Warmup Iteration 340: 0,098 ms/op
# Warmup Iteration 341: 0,098 ms/op
# Warmup Iteration 342: 0,093 ms/op
# Warmup Iteration 343: 0,106 ms/op
# Warmup Iteration 344: 0,089 ms/op
# Warmup Iteration 345: 0,146 ms/op
# Warmup Iteration 346: 0,093 ms/op
# Warmup Iteration 347: 0,092 ms/op
# Warmup Iteration 348: 0,093 ms/op
